"","pid","trial","datetime","type","item","exposure_time","use","react_(clear)","react_angry","react_disgust","react_heart","react_laugh","react_like","react_sad","react_surprise","react","share","comment","comment_made"
"175","14139671",15,"25/09/2025 12:23:14","filler","puppy",7205.29999990464,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"176","14139671",16,"25/09/2025 12:23:28","filler","watch",13973.8999999046,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"177","14139672",1,"25/09/2025 12:15:01","filler","swaps",39618.6999999642,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"178","14139672",2,"25/09/2025 12:15:23","filler","yacht",21742.9,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"179","14139672",3,"25/09/2025 12:15:28","filler","watch",4835,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"180","14139672",4,"25/09/2025 12:15:46","filler","nasa",17853.1000000119,TRUE,0,0,0,1,0,0,0,0,1,0,NA,0
"181","14139672",5,"25/09/2025 12:15:55","filler","lyrics",9682.59999998807,TRUE,0,0,0,0,0,0,0,0,0,1,NA,0
"182","14139672",6,"25/09/2025 12:15:59","filler","train",4179.60000000001,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"183","14139672",7,"25/09/2025 12:16:03","filler","puppy",3491.29999996423,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"184","14139672",8,"25/09/2025 12:16:14","trees","trees",10805.6000000119,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"185","14139672",9,"25/09/2025 12:16:25","filler","natgeo",11065.0999999762,TRUE,0,0,0,1,0,0,0,0,1,0,NA,0
"186","14139672",10,"25/09/2025 12:16:32","filler","pizza",6928.50000001193,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"187","14139672",11,"25/09/2025 12:17:01","filler","starwars",29514.3999999881,TRUE,0,0,0,1,0,0,0,0,1,0,NA,0
"188","14139672",12,"25/09/2025 12:17:11","filler","avocado",10186.8999999881,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"189","14139672",13,"25/09/2025 12:17:20","filler","fish",8941.19999996424,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"190","14139672",14,"25/09/2025 12:17:30","filler","beckham",9402.89999998809,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"191","14139672",15,"25/09/2025 12:17:44","filler","washpo",14104.1999999642,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"192","14139672",16,"25/09/2025 12:17:53","filler","jewellery",9474.29999997615,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"193","14139673",1,"25/09/2025 12:16:17","filler","starwars",72676.899999997,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"194","14139673",2,"25/09/2025 12:17:11","filler","swaps",54443.5,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"195","14139673",3,"25/09/2025 12:17:29","filler","jewellery",17535.900000006,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"196","14139673",4,"25/09/2025 12:17:44","filler","lyrics",15318.199999994,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"197","14139673",5,"25/09/2025 12:18:00","filler","watch",15944.9,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"198","14139673",6,"25/09/2025 12:18:16","filler","washpo",15304.499999994,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"199","14139673",7,"25/09/2025 12:18:38","filler","natgeo",22769.4,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"200","14139673",8,"25/09/2025 12:19:06","trees","trees",27985.100000003,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"201","14139673",9,"25/09/2025 12:19:22","filler","train",15749.6,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
